Drill,trapezius_front-r,trapezius_front-l,scalenes-r,scalenes-l,sternocleidomastoid-r,sternocleidomastoid-l,longus_colli_longus_capitis-l,longus_colli_longus_capitis-r,upper_pectoralis_major-r,upper_pectoralis_major-l,mid_pectoralis_major-r,mid_pectoralis_major-l,pectoralis_minor-r,pectoralis_minor-l,mid_pectoralis_major-r2,mid_pectoralis_major-l3,lower_pectoralis_major-l,lower_pectoralis_major-r,seratus_anterior-r,seratus_anterior-l,seratus_anterior-r_2,seratus_anterior-l_2,external_oblique-l,external_oblique-r,external_oblique-l_2,external_oblique-r_2,internal_oblique-r,internal_oblique-l,transversus_abdominis-r,transversus_abdominis-l,upper_rectus_abdominis-r,upper_rectus_abdominis-l,upper_rectus_abdominis-r_2,upper_rectus_abdominis-l_2,upper_rectus_abdominis-r_3,upper_rectus_abdominis-l_3,lower_rectus_abdominis-r,lower_rectus_abdominis-l,teres_major-r,teres_major-l,deltoid_anterior-r,deltoid_anterior-l,deltoid_lateral_front-l,deltoid_lateral_front-r,triceps_brachi_lateral_head-r,triceps_brachi_lateral_head-l,short_biceps_brachi-r,short_biceps_brachi-l,long_biceps_brachi-r,long_biceps_brachi-l,finger_flexors-r,finger_flexors-l,wrist_flexors-r,wrist_flexors-l,wrist_flexors-r_2,wrist_flexors-l_2,vastus_lateralis-r,vastus_lateralis-l,rectus_femoris-r,rectus_femoris-l,vastus_intermedius-r,vastus_intermedius-l,vastus_medialis-r,vastus_medialis-l,sartorius-l,sartorius-r,tfl-r,tfl-l,iliopsoas-r,iliopsoas-l,pectineus-r,pectineus-l,adductor_brevis-r,adductor_brevis-l,adductor_longus-l,adductor_longus-r,hip_deep_muscles-r,hip_deep_muscles-l,hip_deep_muscles-r_2,hip_deep_muscles-l_2,hip_deep_muscles-r_3,hip_deep_muscles-l_3,hip_deep_muscles-r_4,hip_deep_muscles-l_4,hip_deep_muscles-r_5,hip_deep_muscles-l_5,hip_deep_muscles-r_6,hip_deep_muscles-l_6,hip_deep_muscles-r_7,hip_deep_muscles-l_7,hip_deep_muscles-r_8,hip_deep_muscles-l_8,gracilis-r,gracilis-l,tibialis_anterior-r,tibialis_anterior-l,tibialis_anterior-r_2,tibialis_anterior-l_2,gastrocnemius_front-r,gastrocnemius_front-l,erector_spinae_cervical,erector_spinae_lumbar,erector_spinae_thoracis,upper_trapezius-l,upper_trapezius-r,middle_trapezius-l,middle_trapezius-r,lower_trapezius-l,lower_trapezius-r,rhomboid_minor-l,rhomboid_minor-r,rhomboid_major-r,rhomboid_major-l,supraspinatus-r,supraspinatus-l,infraspinatus-r,infraspinatus-l,teres_mami-r,teres_mami-l,latisimus_dorsi-r,latisimus_dorsi-l,deltoid_posterior-r,deltoid_posterior-l,deltoid_lateral_back-r,deltoid_lateral_back-l,triceps_brachi_lateral_head-r4,triceps_brachi_lateral_head-l5,triceps_brachi_medial_head-r,triceps_brachi_medial_head-l,triceps_brachi_long_head-l,triceps_brachi_long_head-r,wrist_extensors-r,wrist_extensors-l,wrist_extensors-r_2,wrist_extensors-l_2,finger_extensors-r,finger_extensors-l,serratus_posterior,quadratus_lumborum-l,quadratus_lumborum-r,gluteus_medius-r,gluteus_medius-l,gluteus_minimus-r,gluteus_minimus-l,gluteus_maximus-l,gluteus_maximus-r,internal_oblique-r6,internal_oblique-l7,extrenal_oblique-r,extrenal_oblique-l,extrenal_oblique-r_2,extrenal_oblique-l_2,Tfl-r8,Tfl-l9,gracilis-r10,gracilis-l11,semimembranosus-r,semimembranosus-l,semitendinosus-r,semitendinosus-l,biceps_femoris_long_head-l,biceps_femoris_long_head-r,biceps_femoris_short_head-r,biceps_femoris_short_head-l,gastrocnemius-r,gastrocnemius-l,gastrocnemius-r_2,gastrocnemius-l_2,adductor_magnus-r,adductor_magnus-l,soleus-r,soleus-l,soleus-r_2,soleus-l_2,soleus-r_3,soleus-l_3
Split Jerk - BB,1;3;5,1;3;5,0;1;0,0;1;0,0;1;0,0;1;0,0;1;0,0;1;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0;2;0,0;2;0,0;2;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,1;2;5,1;2;5,1;2;8,1;2;8,1;2;8,1;2;8,3;2;6,3;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,4;5;8,4;5;8,4;5;8,4;5;8,4;5;8,4;5;8,4;5;8,4;5;8,2;3;6,2;3;6,0;0;0,0;0;0,0;4;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,3;2;5,3;2;5,0;4;0,0;4;0,0;4;0,1;3;5,1;3;5,1;3;5,1;3;5,1;3;5,1;3;5,1;3;5,1;3;5,1;3;5,1;3;5,1;2;6,1;2;6,1;2;6,1;2;6,1;2;6,1;2;6,0;0;0,0;0;0,2;4;8,2;4;8,2;4;8,2;4;8,2;3;6,2;3;6,2;3;6,2;3;6,2;3;6,2;3;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,2;3;6,2;3;6,2;3;6,2;3;6,2;3;6,2;3;6,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,4;5;7,4;5;7,4;5;7,4;5;7,4;5;7,4;5;7,4;5;7,4;5;7,4;5;6,4;5;6,4;5;6,4;5;6,0;0;0,0;0;0,4;5;6,4;5;6,4;5;6,4;5;6,4;5;6,4;5;6
Split Squat Knee Ext Taps to Drop Step Accel,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,6;1;6,6;1;6,0;0;0,0;0;0,6;1;6,6;1;6,6;1;6,6;1;6,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,4;1;4,4;1;4,4;1;4,4;1;4,4;1;4,4;1;4,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,3;1;3,3;1;3,3;1;3,3;1;3,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
Spooky Squat - BW,0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,9;2;9,9;2;9,9;2;9,9;2;9,9;2;9,9;2;9,9;2;9,9;2;9,0;0;0,0;0;0,0;0;0,0;0;0,0;5;0,0;5;0,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;2;6,5;2;6,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,0;3;0,0;5;0,0;5;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;0;0,0;0;0,5;2;6,5;2;6,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,4;2;5,4;2;5,4;2;5,4;2;5,5;2;6,5;2;6,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5
Spooky Squat - DI,0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,9;2;9,9;2;9,9;2;9,9;2;9,9;2;9,9;2;9,9;2;9,9;2;9,0;0;0,0;0;0,0;0;0,0;0;0,0;5;0,0;5;0,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;2;6,5;2;6,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,0;3;0,0;5;0,0;5;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;0;0,0;0;0,5;2;6,5;2;6,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,4;2;5,4;2;5,4;2;5,4;2;5,5;2;6,5;2;6,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5
Sprinter Plank - Wall,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;8;0,0;8;0,0;8;0,0;8;0,0;8;0,0;8;0,0;8;0,0;8;0,0;7;0,0;7;0,0;7;0,0;7;0,0;7;0,0;7;0,0;7;0,0;7;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;2;0,0;2;0,0;2;0,0;2;0,0;2;0,0;2;0,0;0;0,0;0;0,0;2;0,0;2;0,0;2;0,0;2;0,4;5;5,4;5;5,4;5;5,4;5;5,4;5;5,4;5;5,4;5;5,4;5;5,4;5;5,4;5;5,0;0;0,0;0;0,4;5;6,4;5;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,4;5;5,4;5;5,0;6;0,0;6;0,0;6;0,0;6;0,0;6;0,0;6;0,0;6;0,0;6;0,0;6;0,0;6;0,0;6;0,0;6;0,0;6;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;7;0,0;7;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;2;0,0;2;0,0;2;0,0;2;0,0;0;0,0;0;0,0;0;0,0;4;0,0;4;0,4;5;6,4;5;6,4;5;6,4;5;6,4;5;6,4;5;6,0;8;0,0;8;0,0;8;0,0;8;0,0;8;0,0;8;0,0;0;0,0;0;0,0;0;0,0;0;0,3;2;3,3;2;3,3;2;3,3;2;3,3;2;3,3;2;3,3;2;3,3;2;3,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
Squat Jump - DB SA,0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,9;2;9,9;2;9,9;2;9,9;2;9,9;2;9,9;2;9,9;2;9,9;2;9,0;0;0,0;0;0,0;0;0,0;0;0,0;5;0,0;5;0,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;2;6,5;2;6,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,0;3;0,0;5;0,0;5;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;0;0,0;0;0,5;2;6,5;2;6,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,4;2;5,4;2;5,4;2;5,4;2;5,5;2;6,5;2;6,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5
Squat w High Pull - FW[V12],0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,9;2;9,9;2;9,9;2;9,9;2;9,9;2;9,9;2;9,9;2;9,9;2;9,0;0;0,0;0;0,0;0;0,0;0;0,0;5;0,0;5;0,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;2;6,5;2;6,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,0;3;0,0;5;0,0;5;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;0;0,0;0;0,5;2;6,5;2;6,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,4;2;5,4;2;5,4;2;5,4;2;5,5;2;6,5;2;6,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5
Squats,0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,9;2;9,9;2;9,9;2;9,9;2;9,9;2;9,9;2;9,9;2;9,9;2;9,0;0;0,0;0;0,0;0;0,0;0;0,0;5;0,0;5;0,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;2;6,5;2;6,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,0;3;0,0;5;0,0;5;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;0;0,0;0;0,5;2;6,5;2;6,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,4;2;5,4;2;5,4;2;5,4;2;5,5;2;6,5;2;6,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5
Staggered Half Back Squat - BB,0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,9;2;9,9;2;9,9;2;9,9;2;9,9;2;9,9;2;9,9;2;9,9;2;9,0;0;0,0;0;0,0;0;0,0;0;0,0;5;0,0;5;0,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;2;6,5;2;6,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,0;3;0,0;5;0,0;5;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;0;0,0;0;0,5;2;6,5;2;6,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,4;2;5,4;2;5,4;2;5,4;2;5,5;2;6,5;2;6,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5
Staggered Quarter Squat - FW[D11],0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,9;2;9,9;2;9,9;2;9,9;2;9,9;2;9,9;2;9,9;2;9,9;2;9,0;0;0,0;0;0,0;0;0,0;0;0,0;5;0,0;5;0,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,5;2;6,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,5;2;6,5;2;6,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,0;3;0,0;5;0,0;5;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;3;0,0;3;0,0;3;0,0;3;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,7;2;8,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;5;0,0;0;0,0;0;0,5;2;6,5;2;6,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,6;2;7,4;2;5,4;2;5,4;2;5,4;2;5,5;2;6,5;2;6,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5,4;2;5
Standing Horizontal Plate Press - DI,0;3;5,0;3;5,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;9,0;2;9,0;2;9,0;2;9,0;2;9,0;2;9,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;5,0;3;5,0;3;5,0;3;5,0;0;0,0;0;0,0;3;5,0;3;5,0;3;5,0;3;5,0;2;9,0;2;9,0;2;9,0;2;9,0;2;9,0;2;9,0;0;0,0;0;0,0;2;9,0;2;9,0;2;9,0;2;9,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;4;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0
